Year,Case Size
1930,30
1935,31
1940,34
1945,33
1950,35
1955,35
1960,35
1965,37
1970,38
1975,39
1980,36
1985,37
1990,36
1995,38
2000,38
2005,41
2010,42
2015,42
2020,42
