Year,Price
1925,5052
1940,8670
1945,11384
1950,10497
1955,16799
1960,6862
1965,9177
1970,76687
1975,64571
1980,34477
1985,41204
1990,39928
1995,67491
2000,55457
2005,53155
2010,53541
2015,81253
2020,99307
